"Драйв"
"Мстители"
"Начало"
"Интерстеллар"
"Темный рыцарь"
"Криминальное чтиво"
"Отступники"
"Карты,деньги,два ствола"
"Властелин колец"
"Двойник"
"Облачный атлас"
"Матрица"
"Пираты карибского моря"
"Хатико"
"Эффект бабочки"
"Хоббит"
"Одиннадцать друзей Оушена"
"Герой"
"Исчезнувшая"
"Человек из стали"
"Железный человек"
"Умница Уилл Хантинг"
"Вечное сияние чистого разума"
"Гарри Поттер"
"Трасса 60"
"Догвилль"
"Рок-н-рольщик"
"Дневник памяти"
"1+1"
"Кингсмен"
"Скотт Пиллигрим против всех"
"Бердмен"
"Одержимость"
"Константин: повелитель тьмы"
"21"
"Внутри Лъюина Девиса"
"Даласский клуб покупателей"
"Ананасовый экспресс"
"500 дней лета"
"Хранители"
"127 часов"
"Люди в черном"
"Социальная сеть"
"Большой куш"
"Жизнь как чудо"
